name,cuisines,rest_type,rate,dollar_sign,restaurant_value,x,y
Coffee Bytes,FastFood,QuickBites,3.1,1,0,1.507000807409991,0.6341613693193836
Anna Kuteera,SouthIndian,CasualDining,4.0,1,4,0.9300969161301822,0.8183385844888335
Vijayalakshmi,SouthIndian,QuickBites,3.9,1,3,1.0082848686619896,1.6173291111408348
Sri Udupi Food Hub,SouthIndian,CasualDining,4.1,2,3,-1.1292558888699706,0.514866713046239
Udupi Upahar,SouthIndian,QuickBites,3.8,1,2,-0.0023872952428365206,-0.04635366931721058
House Of Kebabs,NorthIndian,CasualDining,3.8,2,3,-0.18312764730181863,-0.706312351911921
Roll N Rock,Chinese,QuickBites,3.8,1,2,-1.1104458506837218,-0.24059282905278814
Imperial Restaurant,NorthIndian,CasualDining,3.7,2,2,0.5739959934586059,-1.8651133163773783
The Fortuna,NorthIndian,QuickBites,3.0,1,0,0.5398211511696992,-0.506801393755788
Wahab,NorthIndian,QuickBites,3.7,1,2,0.3532309380255712,1.358156151781825
New Gowda's Fried Chicken,Biryani,QuickBites,3.3,1,1,-0.7897864644451045,-1.1337057300746884
Canton,Chinese,CasualDining,3.6,2,2,0.7249977601666816,-0.1629404449799963
HOT COFFEE,SouthIndian,QuickBites,4.1,1,3,-1.0955903103620905,0.22805298429872828
Sagar Deluxe,SouthIndian,QuickBites,3.2,1,1,0.1652466866495966,0.49950781043475945
Aramane Donne Biryani,Biryani,QuickBites,3.0,1,0,0.48610214935037377,1.1443686509475604
Ande Ka Funda,NorthIndian,QuickBites,3.8,1,2,1.123826138475445,0.8095064888599137
Bhattara Bhojana,SouthIndian,QuickBites,3.6,1,2,1.2007068433382926,0.6356112132552831
Tandoori Knight,NorthIndian,QuickBites,3.0,1,0,-1.661268561935653,-0.9264782141720884
Mitraa Da Pizza,FastFood,QuickBites,3.8,1,2,-2.229563910259049,-0.8148599015693225
Paradise Premium,Biryani,CasualDining,3.1,2,0,-0.5737131998286107,-0.8410138952726577
Chilli Flakes,FastFood,QuickBites,3.6,2,2,-0.8430409953468875,-1.378371376138404
Donne Biriyani House,SouthIndian,QuickBites,3.9,1,3,0.7348251024815609,0.7267938539987886
By 2 Coffee,SouthIndian,QuickBites,3.9,1,3,-4.4322519680715535,-0.12822561470525384
Kedia's Fun Food,NorthIndian,QuickBites,4.3,1,4,0.2104631007769168,-0.6898630206340683
Davangere Butter Dosa Hotel,SouthIndian,QuickBites,3.8,1,2,0.21037714880075717,-1.4465885614865077
Mini Punjabi Dhaba,NorthIndian,QuickBites,4.2,1,3,0.914297436743314,-1.061526036952909
Mulabagilu Dosa,SouthIndian,QuickBites,3.6,1,2,0.007398626790591724,-0.20380022513656743
Gokul Veg,NorthIndian,CasualDining,3.8,2,3,-0.48662288317837415,0.6647304530470687
Udupi Ruchi,SouthIndian,QuickBites,3.9,1,3,-0.17795709501534157,0.8046155345145178
Madhappa Hindu Military Hotel,SouthIndian,QuickBites,3.4,1,1,0.6383696230566788,-0.10769278876019643
Gama Gama,SouthIndian,QuickBites,3.9,1,3,-0.3535155588967447,-1.1562181679337828
Twiststick House,Continental,QuickBites,4.1,2,3,1.9480483914766575,-0.8423339960747855
Dal Tadkaa,NorthIndian,CasualDining,2.0,2,0,0.7725785017201456,1.6118584914425482
Chutney Chang,NorthIndian,CasualDining,4.1,3,4,0.2567337486864203,0.17069992661270422
Mystique Palate,Chinese,QuickBites,4.1,1,3,-0.059542916256393255,2.5863718837330745
Thamboola,NorthIndian,CasualDining,3.9,2,3,0.09834139268624602,0.6516850268857622
Castle Rock,NorthIndian,CasualDining,3.6,2,2,-0.2555720517377528,0.5171159282158052
C Corner,FastFood,QuickBites,3.2,1,1,-1.9556642774485946,-0.4680937430768252
Paratha Merchant,NorthIndian,QuickBites,3.1,1,0,-0.4485929778014064,-1.3112616723579023
North Rasoe,NorthIndian,CasualDining,3.1,2,0,0.06383138251845966,-0.73091809298523
Lord Of The Kitchen,NorthIndian,QuickBites,3.9,1,3,-0.09792459000222101,2.5586629100954426
Central Jail Restaurant,Andhra,CasualDining,3.8,2,3,0.6998776428935086,-1.653060624185229
Vennela Andhra Meals,Andhra,QuickBites,3.0,1,0,0.9813265200583928,0.1617491710795786
New Prashanth Hotel,SouthIndian,CasualDining,3.6,2,2,-1.1342989079143213,-0.19654651706907098
The Grillo,SouthIndian,CasualDining,2.8,2,0,-0.3157702728196826,-0.4610911844263814
Re Malnad Nati Style Hotel,SouthIndian,CasualDining,3.6,1,2,1.0490499810557081,-1.2631043131923358
Tiwari's,NorthIndian,QuickBites,3.8,1,2,0.6431686142418284,1.1344607786565593
Biggies Burger 'n' More,Cafe,QuickBites,3.6,2,2,0.7977929050233448,0.12618865151984587
Kollapuri's,SouthIndian,QuickBites,3.9,1,3,-1.6290165849606526,1.416965983381685
Kadamba Classic,SouthIndian,QuickBites,3.6,1,2,-1.3673988557344563,-0.4957319426617749
RS Shiv Sagar,NorthIndian,CasualDining,3.7,1,2,0.19033135975067988,1.7011534246060303
Kholi Mane,Andhra,QuickBites,3.6,1,2,-0.6239876550660396,-0.5272275770481937
Harshi Super Sandwich,FastFood,QuickBites,3.8,1,2,2.1189582731675256,0.8787467426686538
Sri Udupi Veg,SouthIndian,QuickBites,3.3,1,1,-0.15277009770932395,-0.7923628818839134
Matru Sagar,SouthIndian,QuickBites,3.7,1,2,0.7824707269038699,0.23703346303276954
Ugadi,NorthIndian,CasualDining,2.9,2,0,1.0914333942039964,-0.8495755450132266
Daal Roti,NorthIndian,QuickBites,2.9,1,0,1.6685458763359884,-0.6985687947343296
A2B - Adyar Ananda Bhavan,SouthIndian,CasualDining,3.8,1,2,-0.695051150126328,1.6022396792441767
Srikrishna Bhavan,SouthIndian,QuickBites,3.8,1,2,0.8927731552799912,1.422921945469546
Green Gardenia,NorthIndian,CasualDining,3.8,2,2,1.0228291276736643,0.28746431333917843
J Spice,NorthIndian,CasualDining,3.8,2,2,0.8644760245714663,-0.6651987272833628
Karavali Lunch Home,SouthIndian,QuickBites,3.7,1,2,-0.01422240127547021,1.4567709479961253
Hatti Kaapi,SouthIndian,QuickBites,4.0,1,3,0.48337547677958986,1.064078752015788
Kolkata Kathi Roll's,FastFood,QuickBites,3.6,1,2,0.15468707636441129,-0.22977862276470454
Upahara Darshini,NorthIndian,CasualDining,3.9,2,3,0.26139663899106147,0.17804962094513985
The Chaat Shop,FastFood,QuickBites,2.0,1,0,-0.14605308484766813,0.8484260768598086
Anda Ka Funda,NorthIndian,QuickBites,3.4,1,1,-1.0538885622275074,0.5544842415653306
Samskruti - Sanman Gardenia,NorthIndian,CasualDining,4.1,2,3,0.11086927213855946,-0.762136597877973
Bendakaluru Bytes,FastFood,QuickBites,3.2,1,1,-0.06385612598422383,-0.9839280460936969
Chumma Delicious,SouthIndian,QuickBites,3.7,1,2,-0.9309772097413791,-0.2317841784209196
Dwaraka Grand,SouthIndian,CasualDining,3.9,2,3,1.3093941103853943,0.7839397770924226
Gufha - The President Hotel,NorthIndian,CasualDining,4.1,3,4,2.0202513356016842,-1.0117545508703036
Shree Mandarathi Grand,SouthIndian,CasualDining,3.7,1,2,-0.8198453855528862,-0.760444806941703
South Kitchen,SouthIndian,QuickBites,4.3,1,3,0.2672633628592303,-0.7135315488836901
Chung Wah,Chinese,CasualDining,3.7,2,2,-1.1501445930494005,-1.0807221339891924
Shanthi Sagar,SouthIndian,CasualDining,3.1,1,0,1.4771802220691428,0.5444979546929699
Millet Mama,SouthIndian,QuickBites,3.9,1,3,-0.3817496576074365,-0.23241247527516695
Prems Graama Bhojanam,SouthIndian,CasualDining,4.3,1,3,1.3645879913588772,1.1998522100643658
Kamat Bugle Rock,SouthIndian,QuickBites,3.9,1,3,1.0067370912737987,1.124912362923169
Puliyogare Point,SouthIndian,QuickBites,4.2,1,3,0.13358972180184658,0.8304704639523371
Rustic Stove,NorthIndian,CasualDining,3.8,2,3,0.007133269982917557,0.49019629145947186
Udupi Ruchi Grand,SouthIndian,QuickBites,4.2,1,3,0.27096142857437217,1.5726415006953816
De Thaali,NorthIndian,CasualDining,3.9,2,3,0.7608522845639583,0.2781638759578201
Just Thindi,SouthIndian,QuickBites,3.6,1,2,-0.3236094212857323,0.0031367355635045038
Vasanth Vihar - Since 1965,SouthIndian,QuickBites,3.6,1,2,0.7802954230414073,0.1291123314880419
Desi Dawat,NorthIndian,QuickBites,3.7,1,2,-0.9025289797244013,0.28792917445626515
Mast Punjabi,NorthIndian,QuickBites,2.6,1,0,0.46527192025640574,1.0502188126263972
South Grand,SouthIndian,CasualDining,3.4,1,1,0.5426771082360505,-1.2249319157178418
Cafe Zone,FastFood,QuickBites,3.9,1,3,0.8852865278234694,1.7348479767868563
Ruchis Point,FastFood,QuickBites,3.8,1,2,0.7532906715701507,0.6718221991079467
The Royal Corner - Pai Viceroy,NorthIndian,CasualDining,4.2,2,4,0.7858316886816328,0.3292755381078025
Hara Fine Dine,NorthIndian,CasualDining,4.0,2,3,-1.1085132976154048,1.8506351699456087
Dakshin Grand,SouthIndian,QuickBites,3.0,1,0,0.1621027021841327,0.5945437101792287
Sandwichwallas,FastFood,QuickBites,3.7,1,2,0.2708594385809063,1.2150161697729733
SLV Upachar,SouthIndian,QuickBites,3.1,1,0,-1.8569418816835384,-1.8487701520991633
Anand Donne Biriyani,Biryani,QuickBites,3.6,1,2,1.5305774038689985,1.3129792234815967
Seven Star,NorthIndian,QuickBites,3.4,1,1,0.8853143202649468,0.7772864983478106
Stop 'N' Joy,FastFood,QuickBites,3.8,1,2,0.39484298441966886,-0.8134896330148844
Sri Yaksha Shiv Sagar,NorthIndian,CasualDining,3.6,2,2,-1.2732773820059484,-0.7221923260268043
Just Bunny,FastFood,QuickBites,3.0,1,0,1.101449265257158,0.8451446807891293
Kaapi Kendra,SouthIndian,QuickBites,3.7,1,2,-0.3974855751830678,-2.167372644957486
Ivy,NorthIndian,CasualDining,3.8,2,2,-0.17643803982162815,1.5328612069513372
The Trundle,Chinese,CasualDining,3.7,2,2,0.43942483448744074,0.022231129707842412
The Krishna Grand Xpress,SouthIndian,QuickBites,4.0,1,3,-0.7258489674537768,1.330380892372341
Sri Krishna Darshini,SouthIndian,QuickBites,3.1,1,0,0.9985225962182945,-0.5531036677230369
Udupi Grand,SouthIndian,QuickBites,3.8,1,2,1.6443650109180015,0.32529827187950205
Ganesh Grand,SouthIndian,QuickBites,3.7,1,2,0.8734267972074863,0.170096919451548
Shreyas Upahar & Burger Point,SouthIndian,QuickBites,3.0,1,0,-0.4618924363625745,0.3834612160809001
Sri Krishna Sagar,NorthIndian,CasualDining,3.2,1,1,0.664814910024664,0.6713237521244301
Mylari Biryani Family Restaurant,Biryani,QuickBites,3.7,1,2,-0.47239495581306484,0.4861639847824034
Namma Biryani,Biryani,QuickBites,3.6,1,2,0.24870974270664023,-9.938458372972003e-05
Nandhanu's Rasoi,Chinese,QuickBites,3.0,1,0,0.02624791171810526,1.5653264812344818
Hotel Pork Paradise,SouthIndian,QuickBites,3.7,1,2,-0.6649343728319019,-0.09162964984054878
Curry Leaves,Andhra,CasualDining,4.1,2,3,1.2397952670527848,0.8404986686736223
Magic Meals,FastFood,QuickBites,3.7,1,2,0.29558913164363476,-0.5656785281697742
Desi Cream Junction,Chinese,CasualDining,3.7,2,2,-2.235851448078282,-0.16924538514790557
Ruchi's Corner,FastFood,QuickBites,2.7,1,0,-0.9772741090937695,-0.599093822239305
Tandoori Bytes,NorthIndian,CasualDining,3.6,2,2,0.3749529387880989,0.8001560001615109
Bangalore Donne Biriyani,SouthIndian,QuickBites,3.2,1,1,-1.7779819786828441,-0.4616201669745026
SGS Non Veg - Gundu Pulav,Biryani,QuickBites,3.8,1,2,-0.8578807094712325,-0.5142356968926229
Navi Food Point,FastFood,QuickBites,3.6,1,2,-0.6529114343766859,-2.2268226142367813
Lalbagh Grand,SouthIndian,QuickBites,3.0,1,0,-0.3400452752612414,0.7636824476041543
Funjabi Curries,NorthIndian,QuickBites,2.9,2,0,-0.38425507496044436,1.0074992122670778
Eat Repeat,SouthIndian,QuickBites,3.9,1,3,-2.212788681083962,-0.6560320919182774
Nammura Donne Biriyani,Biryani,QuickBites,3.0,1,0,-1.9433634756338873,0.8664857874012637
Dakshin Kitchen,SouthIndian,QuickBites,3.6,1,2,-0.04013084766060164,0.7120806817440328
Sri Sai Cafe,SouthIndian,QuickBites,3.0,1,0,-0.3034725770584621,0.9936201134907504
Sri Sai 99 Variety Dosa,SouthIndian,QuickBites,3.8,1,2,-0.9724502538049123,0.3842207459022382
Utsav Restaurant,NorthIndian,QuickBites,3.8,1,2,0.022284244054614957,2.561637946975343
Crunch and Munch,Chinese,QuickBites,3.7,1,2,-2.044772610483491,0.5418014830093176
Sri Krishna Aramane,SouthIndian,QuickBites,3.7,1,2,0.8544810394277405,0.5648743028829637
Chats Point,FastFood,QuickBites,3.4,1,1,-0.5164863590015305,1.5354065827391383
Food Point,NorthIndian,QuickBites,3.0,1,0,1.779420088203135,-0.8957085847521656
Swarga Ruchi,SouthIndian,QuickBites,3.3,1,1,-0.14911353971282063,-0.9592556911535105
Kolkata King,FastFood,QuickBites,3.4,1,1,1.1931917618817776,0.14527850881216142
New Rajadhani Spicy,NorthIndian,CasualDining,3.7,2,2,-0.5139691140832584,-1.534921874739007
VEGeatz,SouthIndian,QuickBites,3.4,1,1,0.15529205358632392,0.8082177670176485
Foodizo,Desserts,QuickBites,3.6,1,2,-0.1801327203524727,0.6322177742447823
Food Springs,SouthIndian,QuickBites,4.0,1,3,0.28999906114440793,1.4832816696797304
Chung's Chinese Corner,Chinese,CasualDining,3.9,2,3,-0.06615215325497681,0.09833953175300902
Pure & Natural,FastFood,CasualDining,3.9,2,3,1.7650891597563012,0.9319177283367797
Maiyas,NorthIndian,QuickBites,4.0,1,4,0.5325664846294254,0.17065464291399418
Sip n Dine,NorthIndian,CasualDining,3.6,2,2,0.7593212697932499,0.13673067753676654
Jalpaan,NorthIndian,CasualDining,4.0,2,4,0.47344099469061746,-0.2131896419880439
Kataria's Pakwan,NorthIndian,QuickBites,3.2,1,1,-0.3657877639844963,0.6584196603540743
Chicken Hunt,SouthIndian,QuickBites,3.0,1,0,0.06611865086785677,0.48004417692683293
Swadesh Tadka,NorthIndian,CasualDining,3.0,2,0,2.3402157339296283,0.406739078602347
New Biryani Mane,NorthIndian,CasualDining,3.7,1,2,-0.041362420545606904,-0.444484198240055
Bunt's Biriyani Palace,NorthIndian,QuickBites,3.0,1,0,-1.5252831615562488,1.4020609581046384
Janahaar,SouthIndian,QuickBites,3.8,1,2,0.5936450979283191,0.33012980794726654
Utsav,NorthIndian,QuickBites,3.7,1,2,-0.27011522195744003,-0.0436521932392171
Meat And Eat,FastFood,QuickBites,3.1,2,0,0.39100022867306183,0.3012698940021971
Snacks Bite,FastFood,QuickBites,3.0,1,0,1.6077032645149585,-0.8485529097933215
The Spice Saga,Biryani,CasualDining,3.7,2,2,0.18876665804192,0.1464404874621473
Dakshin Cafe,SouthIndian,QuickBites,3.7,1,2,0.45544000595392947,0.4532681119705426
Grand Food,SouthIndian,QuickBites,3.4,1,1,1.32315883472274,1.0335739681172817
Dining Hut,NorthIndian,QuickBites,3.0,1,0,-0.7324466872287136,1.3876318684863593
Desi Swaad,NorthIndian,QuickBites,3.0,1,0,2.1514286602681674,1.1644907855411284
Sandwich Hub,FastFood,QuickBites,3.4,1,1,0.4975613446831798,-0.2026859759428901
Udupi Sri Krishna Cafe,NorthIndian,CasualDining,3.9,2,3,0.7606622736450731,-0.8646347630547788
Starlite Bakery & Fastfood,NorthIndian,QuickBites,3.7,1,2,0.05695305261734663,0.43818435442801884
Aadhya Hotel,SouthIndian,CasualDining,3.3,2,1,-0.3250898176902083,-0.10067932327261173
Dodda Mane Baaduta,NorthIndian,QuickBites,3.0,1,0,-0.3870198366780813,0.06748258586975166
Swadd Kitchen,NorthIndian,CasualDining,3.4,2,1,-0.03262514819401473,-0.4756171110318347
Happy Chopsticks,Chinese,QuickBites,3.6,1,2,0.3740693909519331,-1.4231251773065896
Udupi Upachar,SouthIndian,QuickBites,3.3,2,1,1.0158331814350323,-0.9743439326500808
Davanagere Benne Dose Hut,SouthIndian,QuickBites,3.4,1,1,-1.0657922440968954,2.1543134345142776
Subz,NorthIndian,CasualDining,4.2,3,4,-0.1474382730362707,1.343833531012489
Mint and Mustard,NorthIndian,CasualDining,4.0,2,3,-0.5561575924184835,1.2239338379261562
Chinese Square,Chinese,QuickBites,3.9,1,3,0.09891802193085202,0.32768158097658867
Punjabi Raswada,NorthIndian,CasualDining,3.0,2,0,0.5454365775785575,-0.047692375586154495
Chetty's Corner,FastFood,QuickBites,3.4,1,1,1.1425802488922818,-0.1537309113918709
Kapoor's Cafe,NorthIndian,CasualDining,4.2,2,3,-1.74133791663767,-1.1305614232712566
Donne Biryani & Kabab Corner,Chinese,QuickBites,3.3,1,1,-1.2198916282661758,-0.7284981626955483
Sukh Sagar,SouthIndian,CasualDining,3.8,1,2,-0.17854761684868706,0.012416108030108
S M V Snacks Corner,FastFood,QuickBites,3.7,1,2,-2.430271351674057,-0.3847702098823373
Andhra Ruchulu,Andhra,CasualDining,4.1,3,3,-0.17744019741787567,0.294412143597225
Rajathadri Food Fort,SouthIndian,CasualDining,4.0,2,3,2.0373823650476104,-1.4219587419870419
Rasoi,NorthIndian,QuickBites,3.3,1,1,-0.09098888305821101,-1.8558784353163542
Mr. Singh Da Dhaba,NorthIndian,QuickBites,3.6,1,2,-0.01507898486152945,-0.4180585080156109
Kababs N Biryani,SouthIndian,QuickBites,3.4,1,1,-0.9213050312128418,-0.43905769198375094
Ayodhya Upachar,SouthIndian,QuickBites,4.3,1,4,-0.18074636790283866,-2.0248654377700217
Biriyani Mane,NorthIndian,QuickBites,3.8,1,2,1.4503422410409679,-1.5013895284989907
Brundhavana Food Point,SouthIndian,QuickBites,4.0,1,3,-0.8208557873652936,0.22298725236426584
SLV Corner Restaurant,SouthIndian,CasualDining,4.1,2,3,-0.027305237949593775,-0.11177260318080469
The Krishna Grand,NorthIndian,CasualDining,3.9,2,4,0.2454215051737978,-0.5678374825384528
Roti Ghar,NorthIndian,CasualDining,3.9,2,3,-0.2433406315575592,1.4733493503054884
Baisakhi,NorthIndian,CasualDining,3.8,2,3,1.1303231549375927,0.14050849264246393
A2B Veg - Adyar Ananda Bhavan,SouthIndian,CasualDining,2.7,1,0,-0.6980833677249846,0.5919611693577068
New Imperial Restaurant,NorthIndian,CasualDining,3.7,1,2,-0.17092347955254508,0.021414737454763168
Iyer's Tiffin Centre,SouthIndian,QuickBites,3.8,1,2,-1.2462486250166447,-0.49715500670156526
Kydz Adda,Continental,CasualDining,3.4,2,1,-0.5822250453046145,-1.5752638840969253
Manifest Cafe,SouthIndian,CasualDining,3.0,2,0,-0.6518701988758191,-1.0959954741462477
Taaza Thindi,SouthIndian,QuickBites,4.7,1,4,0.151667901233148,0.39676928210983775
Sri Laxmi Venkateshwara Coffee Bar,SouthIndian,QuickBites,4.4,1,3,-1.2478970031739085,0.5601468849549729
Messy Bowl,FastFood,QuickBites,3.8,2,2,0.07866276312746552,0.5641936337758233
Brahmin Cafe,SouthIndian,QuickBites,3.8,1,2,0.638591635298531,-1.257175982649828
Hotel Mangala,SouthIndian,QuickBites,3.9,1,3,0.5510921232411216,0.22841990463246545
Simple Thindies,SouthIndian,QuickBites,3.0,1,0,-0.6519105700920232,-0.7559437349657515
SLV Swadishta,SouthIndian,QuickBites,3.8,1,2,-0.8605073588648005,-1.0502751850563299
New Sagar Fast Food,NorthIndian,QuickBites,3.6,1,2,-0.03387973635921089,1.5671176612825495
Parama Ruchi,SouthIndian,QuickBites,3.0,1,0,-0.5467592787581961,-0.21720592217803583
Hanumanthanagar Biryani Junction,SouthIndian,QuickBites,3.0,1,0,0.9028281966350337,1.8373730423059353
SLV Refreshment,SouthIndian,QuickBites,4.1,1,3,0.2824786113791703,0.25794483535352436
SVKP Daily Fresh,SouthIndian,QuickBites,3.3,1,1,-0.5640630136450542,-1.0428069605172827
Srinagar Kabab Corner,NorthIndian,QuickBites,3.4,1,1,-0.32734518144283387,1.1744277567862695
FOOD ADDA,FastFood,QuickBites,3.2,1,1,0.27772028397364096,0.12520595757806857
Hotel Nisarga,NorthIndian,QuickBites,3.2,1,1,0.8559563661924144,0.19732800941088605
New Quality Dum Biryani,Biryani,QuickBites,3.1,1,0,-2.054131348893503,-1.2018625730410686
Tasty Bites,FastFood,QuickBites,3.7,1,2,0.22255865595544963,-0.41178393535213403
Raams Chicken,Andhra,QuickBites,3.6,1,2,1.1137755354750245,-0.49464299590077254
Panchami,NorthIndian,QuickBites,3.0,1,0,-0.07150057606131492,1.7668304338749137
Kavali,SouthIndian,QuickBites,4.0,1,3,0.0069168915037141985,-0.7640602915187401
Ranganna Military Hotel,SouthIndian,QuickBites,4.2,1,4,-0.7932514872187254,1.508473941349006
Vidyarthi Bhavan,SouthIndian,QuickBites,4.4,1,5,-1.0037582996234067,-1.1675890879677207
Bharjari Oota,SouthIndian,CasualDining,3.9,1,3,-0.6278597151027483,-0.05776682197755009
Bridgeway,NorthIndian,CasualDining,3.8,2,2,0.2073770375113239,-0.9073617369028618
Bhavani Restaurant,SouthIndian,QuickBites,3.9,1,3,0.36421624363953126,1.4699509436940814
Hotel Dwarka,SouthIndian,QuickBites,4.2,1,3,0.5113815706044915,0.6364169539793396
Nisarga Garden Restaurant,SouthIndian,QuickBites,3.4,1,1,0.042030613143315874,0.19166373376836093
Ma-Arya Family Restaurant,Biryani,CasualDining,3.7,2,2,-0.5640145506766026,0.4649423879770992
Udupi Sri Krishna Bhavan,SouthIndian,QuickBites,4.1,2,3,0.6538395766768905,-0.28530330500818635
Ice Thunder,SouthIndian,QuickBites,3.8,1,2,1.1067603351410045,2.7292141437942505
Mahalaxmi Tiffin Room,SouthIndian,QuickBites,4.1,1,3,-0.21590715158219698,0.6431902862915597
Basavanagudi Mylari,SouthIndian,QuickBites,4.0,1,3,0.6938408764148639,1.2606739095525423
Shrinidhi Military Hotel,NorthIndian,QuickBites,3.3,1,1,0.5326198638572919,-0.2891396567516695
Pramukh Family Restaurant,NorthIndian,CasualDining,3.9,2,3,-0.21185734328224176,-0.21856868667025833
Vybhava,SouthIndian,QuickBites,3.8,1,2,0.4026676255319981,0.5718369013871186
Shree Venkateshwara North Karnataka Hotel,SouthIndian,QuickBites,4.0,1,3,0.8021010310219067,0.7412948160058501
Anand Sagar Inn,SouthIndian,CasualDining,3.3,1,1,-0.43813935740131504,0.5243090750859468
Sangam Military Hotel,SouthIndian,QuickBites,3.2,1,1,-0.2809356805345526,0.04005261049310542
50-50 EATING HOUSE,SouthIndian,QuickBites,3.2,1,1,1.6587501142232357,-1.4908157260503176
Rolls Corner,FastFood,QuickBites,3.6,1,2,1.478666194638482,-1.0209388897127785
New Ambur Hot Dum Biryani,Biryani,QuickBites,3.2,1,1,0.006742476505846434,0.121301057973269
